Customer_ID,Gender,Age,City,Tenure_Months,Contract_Type,Plan_Type,Internet_Service,Payment_Method,Monthly_Charges,Total_Charges,Data_Usage_GB,Support_Calls,Late_Payments,Satisfaction_Score,Discount_Percent,Churn
CUST10001,Female,56,Bengaluru,4,Monthly,Standard,Fiber,Debit Card,1180.2,3966.47,161.2,3.0,0.0,6.0,15.0,Yes
CUST10002,Male,69,Bengaluru,12,Monthly,Premium,Fiber,Debit Card,1641.19,16612.79,174.8,5.0,0.0,8.0,15.0,No
CUST10003,Female,46,Jaipur,10,Monthly,Basic,Fiber,UPI,926.51,9375.61,211.0,3.0,0.0,6.0,0.0,No
CUST10004,Male,32,Chennai,20,Monthly,Basic,Fiber,UPI,843.23,15423.29,232.0,5.0,2.0,5.0,10.0,Yes
CUST10005,Male,60,Hyderabad,26,Monthly,Premium,Fiber,Bank Transfer,1589.7,37865.52,45.8,5.0,0.0,5.0,10.0,Yes
CUST10006,Female,25,Bengaluru,24,Monthly,Standard,DSL,Debit Card,930.25,22955.01,112.3,0.0,0.0,8.0,0.0,No
CUST10007,Female,38,Pune,16,Monthly,Standard,Fiber,Debit Card,1074.28,14774.92,163.8,0.0,0.0,7.0,15.0,No
CUST10008,Female,56,,34,Quarterly,Standard,,Debit Card,755.54,24704.65,0.5,0.0,,7.0,0.0,No
CUST10009,Male,36,Ahmedabad,50,Yearly,Standard,Fiber,Bank Transfer,,49420.57,199.8,1.0,1.0,7.0,15.0,No
CUST10010,Female,40,Pune,4,Monthly,Standard,DSL,UPI,1098.9,4880.45,162.1,0.0,2.0,7.0,0.0,Yes
CUST10011,Male,28,Bengaluru,10,Monthly,Basic,DSL,Debit Card,687.4,5871.83,62.4,5.0,0.0,3.0,10.0,Yes
CUST10012,Female,28,Bengaluru,22,Monthly,Standard,Fiber,Credit Card,1189.91,26699.59,195.7,2.0,1.0,9.0,0.0,No
CUST10013,Female,41,Bengaluru,35,Yearly,Standard,DSL,Bank Transfer,1067.5,35906.76,91.6,6.0,1.0,7.0,5.0,No
CUST10014,Female,70,Mumbai,29,Yearly,Standard,DSL,Credit Card,1172.88,33920.96,,2.0,1.0,5.0,0.0,No
CUST10015,Male,53,Bengaluru,59,Monthly,Standard,Fiber,Cash,1204.47,70651.25,125.7,0.0,0.0,7.0,0.0,No
CUST10016,Female,57,Mumbai,45,Monthly,Premium,,Credit Card,1258.03,42373.8,0.7,4.0,2.0,5.0,25.0,No
CUST10017,Female,41,Delhi,34,Quarterly,Standard,Fiber,Cash,1151.57,39254.68,70.5,3.0,1.0,7.0,0.0,No
CUST10018,Male,20,Kochi,18,Quarterly,Premium,Fiber,Bank Transfer,1746.94,29181.15,195.8,2.0,1.0,7.0,5.0,No
CUST10019,Male,39,Pune,17,Monthly,Standard,DSL,Debit Card,1111.17,17465.2,78.3,4.0,1.0,5.0,10.0,No
CUST10020,Female,70,Ahmedabad,44,Quarterly,Standard,Fiber,Credit Card,1111.11,49239.62,100.3,2.0,1.0,9.0,0.0,No
CUST10021,Female,19,Kolkata,49,Quarterly,Basic,DSL,Credit Card,869.84,42715.71,117.3,2.0,0.0,7.0,0.0,No
CUST10022,Female,41,Bengaluru,72,Yearly,Basic,DSL,Bank Transfer,807.34,58223.85,44.5,1.0,0.0,10.0,0.0,No
CUST10023,Male,61,Kolkata,22,Monthly,Standard,,Debit Card,868.72,17911.71,3.6,4.0,0.0,6.0,10.0,No
CUST10024,Male,47,Mumbai,23,Yearly,Standard,Fiber,Credit Card,1252.83,22685.91,174.7,3.0,0.0,8.0,20.0,No
CUST10025,Male,55,Pune,7,Monthly,Standard,,Debit Card,940.87,5419.99,5.2,4.0,0.0,7.0,15.0,No
CUST10026,Male,19,Delhi,59,Quarterly,Standard,Fiber,Bank Transfer,1139.76,50465.61,176.1,3.0,1.0,5.0,25.0,No
CUST10027,Female,38,Kochi,28,Quarterly,Premium,Fiber,UPI,1568.83,39244.59,188.3,2.0,1.0,7.0,10.0,No
CUST10028,Male,50,Mumbai,61,Monthly,Premium,Fiber,UPI,1596.93,72995.74,248.0,1.0,0.0,8.0,25.0,No
CUST10029,Male,29,Mumbai,6,Quarterly,Basic,DSL,UPI,650.8,3117.05,38.8,2.0,1.0,8.0,0.0,No
CUST10030,Male,39,Jaipur,19,Monthly,Standard,Fiber,UPI,1258.35,22522.86,104.6,0.0,1.0,7.0,5.0,No
CUST10031,,61,Bengaluru,19,Monthly,Standard,DSL,Credit Card,1027.96,18494.44,55.6,4.0,0.0,6.0,5.0,Yes
CUST10032,,42,Pune,35,,Basic,Fiber,Bank Transfer,869.15,30045.92,158.8,2.0,1.0,8.0,0.0,No
CUST10033,Male,66,Kolkata,27,Monthly,Basic,Fiber,Credit Card,,20121.55,118.4,2.0,0.0,5.0,15.0,Yes
CUST10034,Male,44,Ahmedabad,30,Monthly,Premium,,UPI,1247.28,37636.97,1.8,2.0,1.0,5.0,0.0,No
CUST10035,Female,59,Kochi,14,Yearly,Premium,Fiber,Credit Card,1612.46,20262.25,173.9,1.0,0.0,8.0,10.0,No
CUST10036,Female,45,Kochi,28,Monthly,Standard,Fiber,Cash,1279.68,33740.59,214.5,2.0,0.0,7.0,5.0,No
CUST10037,Female,33,Bengaluru,35,Monthly,Standard,DSL,Credit Card,1131.93,38847.71,127.7,1.0,0.0,7.0,0.0,No
